approach,combination_method,deletion_type,deletion_percentage,total_cases,successful_cases,success_rate_percent,avg_num_matches,avg_false_positives,avg_match_score_percent,avg_precision,avg_recall,avg_f1_score
min-distance-2,normal,none,0.0,300,233,77.67,0.907,2.19,97.9,0.512,0.453,0.481
min-distance-2,with_deletion,end,0.05,300,267,89.0,1.12,4.917,99.43,0.465,0.56,0.508
min-distance-2,with_deletion,random,0.05,300,268,89.33,1.053,2.597,99.25,0.548,0.527,0.537
min-distance-2,with_deletion,start,0.05,300,241,80.33,0.927,2.113,98.48,0.521,0.463,0.491
min-distance-3,normal,none,0.0,300,263,87.67,1.03,0.987,93.29,0.722,0.515,0.601
min-distance-3,with_deletion,end,0.05,300,276,92.0,1.097,1.32,97.88,0.738,0.548,0.629
min-distance-3,with_deletion,random,0.05,300,277,92.33,1.057,0.963,95.64,0.753,0.528,0.621
min-distance-3,with_deletion,start,0.05,300,260,86.67,1.053,0.937,93.37,0.716,0.527,0.607
naive,normal,none,0.0,300,188,62.67,0.687,11.44,100.0,0.179,0.343,0.235
naive,with_deletion,end,0.05,300,260,86.67,0.99,40.27,100.0,0.18,0.495,0.264
naive,with_deletion,random,0.05,300,233,77.67,0.89,23.157,100.0,0.163,0.445,0.238
naive,with_deletion,start,0.05,300,190,63.33,0.707,14.74,99.99,0.172,0.353,0.231
