L,Prompt_ID,Original_Message,Recovered_Message,Total_Bits,Correct_Bits,Undecided_Bits,Decided_Bits,Accuracy_Percent,Exact_Match
10,0,0000101001,0000101001,10,10,0,10,100.0,True
10,1,1110101011,1⊥1010⊥011,10,8,2,8,80.0,False
10,2,1011010101,1011010101,10,10,0,10,100.0,True
10,3,1110011000,1110011000,10,10,0,10,100.0,True
10,4,1010111010,1010111010,10,10,0,10,100.0,True
10,5,0010011100,0⊥10⊥⊥11⊥0,10,6,4,6,60.0,False
10,6,0010000001,0010000001,10,10,0,10,100.0,True
10,7,1101110000,1101110000,10,10,0,10,100.0,True
10,8,1100110101,⊥⊥0⊥⊥⊥⊥⊥⊥⊥,10,1,9,1,10.0,False
10,9,1011101011,1011101011,10,10,0,10,100.0,True
10,10,1010001011,1010001011,10,10,0,10,100.0,True
10,11,1101010001,1101010001,10,10,0,10,100.0,True
10,12,1110000000,1110000000,10,10,0,10,100.0,True
10,13,0011111110,00⊥1111110,10,9,1,9,90.0,False
10,14,0010010111,0010010111,10,10,0,10,100.0,True
10,15,0110110111,011011⊥111,10,9,1,9,90.0,False
10,16,1010011000,1010011⊥00,10,9,1,9,90.0,False
10,17,1101100001,1101100001,10,10,0,10,100.0,True
10,18,0011111101,⊥⊥⊥⊥⊥⊥⊥⊥⊥⊥,10,0,10,0,0.0,False
10,19,0110011101,0110011101,10,10,0,10,100.0,True
10,20,0000101101,⊥⊥0⊥⊥⊥⊥⊥⊥1,10,2,8,2,20.0,False
10,21,0011010111,0011010111,10,10,0,10,100.0,True
10,22,1001000100,1001000100,10,10,0,10,100.0,True
10,23,1111001011,1111001011,10,10,0,10,100.0,True
10,24,1111000001,111100⊥0⊥1,10,8,2,8,80.0,False
10,25,1011111100,1011111100,10,10,0,10,100.0,True
10,26,0100101100,0100101100,10,10,0,10,100.0,True
10,27,1111111111,1111111111,10,10,0,10,100.0,True
10,28,1001110100,1001110100,10,10,0,10,100.0,True
10,29,0101010110,0101010110,10,10,0,10,100.0,True
10,30,0010111101,0010111101,10,10,0,10,100.0,True
10,31,1100111011,1100111011,10,10,0,10,100.0,True
10,32,0001111001,0001111001,10,10,0,10,100.0,True
