L,Total_Prompts,Successful,Avg_Accuracy_Percent,Median_Accuracy_Percent,Min_Accuracy_Percent,Max_Accuracy_Percent,Exact_Matches,Exact_Match_Rate_Percent,Avg_Undecided_Bits,Avg_Decided_Bits
4,100,100,98.75,100.0,25.0,100.0,97,97.0,0.05,3.95
5,100,100,98.2,100.0,0.0,100.0,97,97.0,0.09,4.91
6,100,100,96.0,100.0,0.0,100.0,94,94.0,0.24,5.76
7,100,100,95.42857142857143,100.0,0.0,100.0,89,89.0,0.32,6.68
8,100,100,90.0,100.0,0.0,100.0,82,82.0,0.8,7.2
9,100,100,88.11111111111111,100.0,0.0,100.0,78,78.0,1.07,7.93
10,100,100,85.4,100.0,0.0,100.0,58,57.99999999999999,1.46,8.54
11,100,100,85.81818181818181,90.9090909090909,0.0,100.0,38,38.0,1.56,9.44
12,100,100,70.58333333333333,83.33333333333334,0.0,100.0,13,13.0,3.53,8.47
13,100,100,60.46153846153847,69.23076923076923,0.0,100.0,4,4.0,5.14,7.86
14,100,100,53.21428571428571,57.14285714285714,0.0,92.85714285714286,0,0.0,6.55,7.45
15,100,100,38.06666666666666,40.0,0.0,93.33333333333333,0,0.0,9.29,5.71
16,100,100,32.1875,31.25,0.0,81.25,0,0.0,10.85,5.15
17,100,100,25.117647058823533,23.52941176470588,0.0,64.70588235294117,0,0.0,12.73,4.27
