L,Total_Prompts,Successful,Avg_Accuracy_Percent,Median_Accuracy_Percent,Min_Accuracy_Percent,Max_Accuracy_Percent,Exact_Matches,Exact_Match_Rate_Percent,Avg_Undecided_Bits,Avg_Decided_Bits
4,50,50,99.0,100.0,50.0,100.0,49,98.0,0.04,3.96
5,50,50,96.8,100.0,40.0,100.0,46,92.0,0.16,4.84
6,50,50,87.66666666666669,100.0,0.0,100.0,40,80.0,0.74,5.26
7,50,50,84.85714285714286,100.0,0.0,100.0,35,70.0,1.06,5.94
8,50,50,78.0,87.5,0.0,100.0,17,34.0,1.76,6.24
9,50,50,67.33333333333334,77.77777777777779,0.0,100.0,8,16.0,2.94,6.06
10,50,50,55.6,60.0,0.0,90.0,0,0.0,4.44,5.56
11,50,50,34.36363636363637,36.36363636363637,0.0,90.9090909090909,0,0.0,7.22,3.78
12,50,50,31.166666666666664,25.0,0.0,91.66666666666666,0,0.0,8.24,3.76
13,50,50,20.76923076923077,23.076923076923077,0.0,76.92307692307693,0,0.0,10.3,2.7
14,50,50,17.42857142857143,14.285714285714285,0.0,42.857142857142854,0,0.0,11.56,2.44
15,50,50,13.2,6.666666666666667,0.0,53.333333333333336,0,0.0,13.02,1.98
16,50,50,6.375,6.25,0.0,25.0,0,0.0,14.98,1.02
17,50,50,6.705882352941176,5.88235294117647,0.0,41.17647058823529,0,0.0,15.86,1.14
18,50,50,5.777777777777777,5.555555555555555,0.0,27.77777777777778,0,0.0,16.96,1.04
